observation,price,bedrooms,bathrooms,floors,waterfront,view,condition,condition_1,condition_2,condition_3,condition_4,condition_5,grade,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_13,basement,renovated,yr_built,sqft_living15,sqft_lot15
4637,208000,2,1,1,0,0,4,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1953,970,5811
4638,898000,4,2.5,2,0,0,3,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1992,3210,47215
4639,295000,4,1.75,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1961,2080,10400
4640,652500,4,1.75,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1978,1850,12220
4641,560000,4,3,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1992,2010,5681
4642,280000,3,1,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1957,1690,8030
4643,289950,3,2.5,1.5,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1937,2160,8584
4644,397500,3,2.5,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1978,1900,6130
4645,380000,2,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1956,2570,35200
4646,415900,3,2.5,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1988,1510,16817
4647,475000,2,1.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1923,1280,5366
4648,125000,1,1,1,0,0,1,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1928,1350,7440
4649,238000,3,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1958,2640,24100
4650,296000,4,1.5,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1953,1540,9789
4651,475000,6,3,1.5,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1924,2120,17100
4652,390000,3,2.25,1.5,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1910,2060,6250
4653,425000,3,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1940,1280,3750
4654,725000,6,3,1.5,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1921,1600,4000
4655,605000,3,2.25,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1973,2320,12400
4656,302000,3,1,2,0,0,2,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1906,1310,1138
4657,886000,3,2.25,2,0,0,5,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1931,2000,6000
4658,540000,4,1.75,1,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1918,1630,4080
4659,435000,4,2.25,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1975,1910,8400
4660,409000,4,3.25,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1992,1300,9920
4661,405000,3,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1975,1690,7280
4662,560200,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2004,2320,3984
4663,324000,4,1.75,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1975,1820,7208
4664,390000,4,2.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1999,2690,7008
4665,414000,2,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1938,1220,5000
4666,441500,3,2.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1998,2420,5620
4667,375000,3,2.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1992,1230,5160
4668,668500,4,2.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1999,2710,6242
4669,540000,5,1.5,1.5,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1940,1900,8000
4670,1040000,4,3.25,2,0,3,4,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0,1,1,1960,2412,19499
4671,1350000,4,3.25,2,0,4,3,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,2014,2350,5166
4672,758000,4,2.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1956,2090,9549
4673,949880,4,2.25,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1978,2290,10300
4674,570000,3,1,1.5,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1927,1440,4917
4675,736000,4,2.5,2,0,0,4,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1988,3130,15666
4676,670000,3,1.5,1.5,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1906,1560,4400
4677,1130000,4,1.75,1,0,0,5,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1949,2370,8400
4678,650000,4,2,1.5,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1914,1470,4080
4679,690000,2,1.75,1,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1918,1860,4000
4680,610000,4,2.25,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1988,3180,45738
4681,413500,2,1,1,0,0,5,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1924,1420,5040
4682,765000,3,2.5,2,0,2,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,1,1968,2640,10764
4683,828200,4,2.75,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,3060,7081
4684,205000,2,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1918,1430,4500
4685,465000,3,2.5,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1995,1740,9250
4686,556000,4,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2005,2240,7560
4687,540000,4,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1994,1830,4164
4688,423000,4,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2004,2330,4602
4689,375000,3,1.75,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1963,2040,10190
4690,173250,3,1,1.5,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1936,1260,8937
4691,599900,3,1.5,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,2003,1590,15242
4692,646000,5,2.75,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1976,1890,4196
4693,1080000,5,4.75,2,0,2,3,0,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,1,0,2001,3960,15103
4694,558000,4,2,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1900,1520,2580
4695,354000,2,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1949,1230,5225
4696,1200000,4,4,2,0,0,3,0,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,1,0,1990,3330,9436
4697,670000,4,2,1.5,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1909,1200,3360
4698,1130000,6,4.25,3,0,2,3,0,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1978,3270,6334
4699,267500,2,1,2.5,0,0,4,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1948,1620,10300
4700,299800,4,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2002,2517,5290
4701,430000,4,1.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1958,1650,8400
4702,775000,5,1,1.5,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1921,1910,3600
4703,333000,3,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1944,1490,7636
4704,336000,3,2,1,0,0,4,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1951,1500,9151
4705,323000,2,1,2,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1945,1360,1748
4706,575000,4,2.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,1870,56628
4707,328000,2,2.25,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2008,1420,1977
4708,572500,3,1,1.5,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1926,1770,4350
4709,600000,3,1.75,1,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1908,1540,5100
4710,412000,4,3,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2003,2430,7242
4711,827500,3,2.5,1,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1960,2050,7200
4712,300000,4,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1994,2330,22356
4713,415000,3,2.5,2,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1985,1500,5040
4714,750000,7,2.75,1.5,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1906,2510,4056
4715,800000,3,2.75,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,1,1914,1800,4000
4716,420000,3,1,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1954,1240,7874
4717,266000,3,1.5,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1957,1320,8400
4718,499000,4,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2004,2330,5566
4719,440000,4,1.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1947,970,5750
4720,495000,3,2,2,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1918,2320,19844
4721,630000,2,1.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1951,1280,3000
4722,424000,3,1.75,1,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1972,1480,7210
4723,760000,4,2.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1986,2710,5964
4724,650000,4,3.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1990,3020,8582
4725,248500,4,1.75,1,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1960,1220,10018
4726,379600,3,1.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1962,1560,9910
4727,538000,4,2.5,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1978,1802,7249
4728,530000,4,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1988,2070,7541
4729,545000,4,2.25,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1967,2310,9680
4730,925000,4,3,1.5,0,0,3,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1985,3540,36750
4731,565000,4,2.75,1.5,0,0,4,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1983,1970,36425
4732,405100,2,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1947,1390,4800
4733,502000,3,1.75,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1963,1350,8800
4734,425000,3,2.25,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2003,1630,3042
4735,233500,3,2.25,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1985,1510,3788
4736,287000,3,2.5,2,0,2,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1986,1830,9358
4737,190000,3,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1966,1300,8100
4738,666000,3,2.25,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1979,2890,36400
4739,330000,2,1,1,0,0,4,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1909,1230,4120
4740,1490000,5,3.5,2,0,2,3,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,1,1,1958,2690,9757
4741,393000,3,2.25,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1987,2040,11717
4742,353000,4,2.75,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1998,1910,7210
4743,260000,2,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1916,920,6720
4744,680000,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,2001,2060,2936
4745,921000,3,2.25,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1963,2010,11200
4746,319000,2,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1949,1690,6495
4747,280000,3,1,1,0,0,2,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1983,1280,10843
4748,220000,3,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1942,740,6300
4749,219000,3,1.5,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1977,1540,5200
4750,528000,4,2.75,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1988,1960,7110
4751,405000,3,1.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1949,1450,8212
4752,372977,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,2014,1690,1618
4753,934550,4,3.25,1.5,0,2,4,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1910,2320,6240
4754,1470000,3,1.5,2,0,3,3,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,1940,2860,9288
4755,975000,4,2.25,2,0,0,4,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1958,2910,5350
4756,800866,5,2.5,2,0,0,4,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1990,3180,13798
4757,950000,7,3.5,2,0,0,4,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1980,3040,13500
4758,624000,4,3,1.5,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1902,1460,5000
4759,1850000,5,2.25,2,1,4,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,1963,3220,9156
4760,310000,3,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1953,1760,9403
4761,315000,3,1.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1968,1500,7900
4762,675000,3,2,1,0,0,5,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1942,1920,6015
4763,490000,3,1.75,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1965,2210,11000
4764,600000,5,2.25,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1958,2060,6342
4765,154000,2,1,1,0,3,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,1949,1880,38996
4766,480000,4,1.75,2,0,3,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1964,2430,11600
4767,196900,3,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1954,1250,8000
4768,735000,3,3.25,2,0,0,3,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1989,2960,56628
4769,205500,3,2,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1986,1510,8584
4770,357186,2,1.75,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,1210,1090
4771,275000,4,2.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1998,2120,6937
4772,248500,3,1.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1948,1700,9496
4773,350000,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,1,1990,2340,8040
4774,390000,4,2.75,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1987,1250,43791
4775,390000,3,2.75,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1956,1880,12000
4776,660000,5,2.25,1.5,0,0,4,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1979,2180,7600
4777,310000,3,1.75,1,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1950,1140,6770
4778,717000,3,2.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,2480,6023
4779,260000,5,2.5,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1964,2240,11780
4780,745000,3,2,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1960,1230,5001
4781,470000,4,2.5,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1975,2160,7054
4782,429000,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1997,2340,9472
4783,220000,4,2,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1969,1610,10500
4784,497000,3,3,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,2007,1910,2951
4785,716100,3,1,1.5,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1909,2140,4000
4786,371000,4,1,1.5,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1979,2430,188564
4787,379000,5,2.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1961,2170,40523
4788,937500,3,1,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1954,2790,10800
4789,720000,4,2,1.5,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1906,1740,4220
4790,616000,3,3.25,2,0,1,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1924,1560,4500
4791,259000,3,2,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1988,1530,7688
4792,538000,3,1.75,1.5,0,0,4,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1904,1720,5100
4793,605000,3,2.75,1.5,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1966,2820,9576
4794,369950,3,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1967,1260,8094
4795,310000,3,2.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2002,1670,4238
4796,227500,3,1,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1960,1210,9450
4797,274000,4,2.25,1,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1973,2260,8000
4798,410000,3,2,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1987,1770,7401
4799,354800,3,2,1,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1964,1620,9690
4800,650000,4,2.25,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1954,1810,5153
4801,353000,3,2,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1994,1550,11753
4802,224975,3,1,1,0,0,4,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1977,1160,10488
4803,600000,2,1.75,1,0,1,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1951,2440,13054
4804,437500,3,2.25,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1976,1610,7350
4805,567000,3,2.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1999,2540,5924
4806,225000,5,1.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1963,2040,9790
4807,255000,2,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1941,1900,6145
4808,2480000,5,3.75,2.5,0,0,3,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,1,1,0,1922,2660,7500
4809,370000,2,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1951,1060,4600
4810,675000,4,1.75,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1975,2280,8800
4811,285000,3,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1953,1370,4268
4812,310000,3,1.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1973,2011,19110
4813,475000,4,2.5,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1972,1740,7350
4814,410000,4,2.5,2,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2006,2580,4950
4815,895000,4,2.25,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1947,2600,5593
4816,375000,3,1.5,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1941,1130,7733
4817,349000,4,2.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2003,1830,5175
4818,650500,3,1.75,1.5,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1903,1740,4400
4819,760000,3,1.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1950,1880,15120
4820,480000,4,2.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1986,1440,5040
4821,689000,4,2.75,2,0,0,3,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1993,3200,12921
4822,415000,3,1.75,1,0,0,5,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1911,1790,5000
4823,195000,3,1.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1968,1350,6148
4824,318000,5,2.5,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1967,2700,9956
4825,404000,4,3,1,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1989,2950,35259
4826,339950,2,1,1,0,0,4,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1925,1400,3090
4827,215000,3,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1979,1560,8285
4828,339900,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,2260,7629
4829,285000,1,1.5,2,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1982,1320,3298
4830,550000,3,1,1.5,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1947,1380,5000
4831,430000,4,1,1.5,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1964,1940,8000
4832,219000,3,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1967,1150,8160
4833,555000,2,1.5,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1947,1690,5962
4834,233000,3,2,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1989,1470,7686
4835,248000,3,1.75,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1972,1910,12000
4836,454000,5,2.25,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1975,2090,9200
4837,950000,4,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,1,1931,2090,4174
4838,359000,3,2.5,2,0,0,5,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1980,2160,8740
4839,407500,5,2,1.5,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1962,2130,8232
4840,224000,3,1.5,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1964,1460,7910
4841,210000,2,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1954,1040,6120
4842,261000,4,1.75,1,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1968,1410,11013
4843,719000,3,3,3,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1998,1466,1455
4844,440000,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1994,1500,4000
